,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
531,36014,Nike,나이키 덩크 컴포트 프리미엄 QS 화이트 검,93,1,50,70000,50000,210000,269000,210000,56300,36.6298,2,230,320,White/White,2015-04-01T00:00:00Z,men,151000,KRW,"151,000원",Nike Dunk CMFT Premium QS White Gum,120,USD,$120 ,716714-101
532,5126,Nike,나이키 덩크 컴포트 리옹 블루,78,0,-14.7239,-24000,,139000,209000,139000,12400,9.79463,6,215,310,Lyon Blue/White/Black,2015-03-01T23:59:59Z,men,125800,KRW,"125,800원",Nike Dunk CMFT Lyon Blue,100,USD,$100 ,705434-400
533,5045,Nike,나이키 덩크 하이 럭스 버니쉬드 레더,35,4,0,0,,200000,350000,200000,-26700,-11.7777,6,215,310,Classic Brown/Classic Brown,2015-02-12T23:59:59Z,men,251600,KRW,"251,600원",Nike Dunk High Lux Burnished Leather,200,USD,$200 ,747138-221
534,4998,Nike,나이키 덩크 컴포트 브레드,93,3,-6.25,-10000,124000,150000,239000,150000,28100,23.0517,9,215,310,University Red/Black-White,2015-02-01T23:59:59Z,men,125800,KRW,"125,800원",Nike Dunk CMFT Bred,100,USD,$100 ,705434-600
535,4708,Nike,나이키 덩크 SB 하이 프리미어 노던 라이츠,156,10,9.01639,33000,,399000,600000,399000,257600,182.178,24,215,310,Anthracite/Black-Hyper Pink-Crystal Mint,2014-11-29T23:59:59Z,men,151000,KRW,"151,000원",Nike Dunk SB High Premier Northern Lights,120,USD,$120 ,313171-063
536,43446,Nike,나이키 덩크 하이 프로 SB 닥터수스,11,2,,,140000,,350000,,,,0,230,320,Gym Red/Gym Red-White,2014-05-12T00:00:00Z,men,,KRW,,Nike Dunk High Pro SB Dr. Seuss,,,,305050-661
537,23769,Nike,나이키 x 블랙 쉽 덩크 하이 SB 페이드 인 풀,220,5,-6.03448,-35000,500000,545000,898000,545000,415900,322.153,10,215,320,WHITE/METALLIC GOLD-BLACK,2014-01-01T00:00:00Z,men,135900,KRW,"135,900원",Nike x Black Sheep Dunk High SB Paid in Full,108,USD,$108 ,313171-170
538,3407,Nike,나이키 덩크 로우 프리미엄 SB 파이어크래커,3,0,,,,,559000,,,,0,230,320,Black/White-Challenge Red,2013-06-26T00:00:00Z,men,,KRW,,Nike Dunk Low Premium SB Firecracker,,,,313170-016
539,3401,Nike,나이키 SB 덩크 로우 MIA 스케이트 샵,87,4,,,150000,500000,1500000,500000,385400,336.3,1,215,310,Brave Blue/Metallic Gold Star-Mineral Blue,2013-06-21T23:59:59Z,men,123300,KRW,"123,300원",Nike SB Dunk Low MIA Skate Shop,98,USD,$98 ,504750-474
540,3286,Nike,나이키 덩크 SB 로우 콩코드,198,8,,,250000,200000,509000,200000,95900,92.123,1,215,320,Black/White-Ice Blue-Dark Concord,2013-04-20T23:59:59Z,men,106900,KRW,"106,900원",Nike Dunk SB Low Concord,85,USD,$85 ,304292-043
